CID,IsomericSMILES,Descriptors,alcohol,animal,aquatic,earthy,flower,fruity,green,herbal,savory,spices,woody
5315592,CC1=C[C@H]2[C@@H](CC[C@@](C2CC1)(C)O)C(C)C,['herbal'],0,0,0,0,0,0,0,1,0,0,0
5315892,C1=CC=C(C=C1)/C=C/CO,"['flower', 'spices', 'green']",0,0,0,0,1,0,1,0,0,1,0
5315912,CC(=O)OC/C=C\C1=CC=CC=C1,['flower'],0,0,0,0,1,0,0,0,0,0,0
5315941,C1CCC/C=C\CCCCCCCC(=O)CCC1,['animal'],0,1,0,0,0,0,0,0,0,0,0
5316880,CC#C/C=C/CC1=CC=CC=C1,"['spices', 'herbal']",0,0,0,0,0,0,0,1,0,1,0
5317045,CCCCC/C=C/C(=O)C,"['spices', 'savory', 'earthy', 'fruity']",0,0,0,1,0,1,0,0,1,1,0
5317247,CCOC(=O)/C=C(\C)/CCC=C(C)C,"['green', 'flower']",0,0,0,0,1,0,1,0,0,0,0
5318017,CCCC/C=C/CO,['green'],0,0,0,0,0,0,1,0,0,0,0
5318018,CCC/C=C/CCO,"['green', 'flower', 'herbal', 'aquatic']",0,0,1,0,1,0,1,1,0,0,0
5318042,CCC/C=C/CO,"['alcohol', 'savory', 'fruity', 'green', 'herbal', 'aquatic']",1,0,1,0,0,1,1,1,1,0,0
5318516,CCCCC/C=C/C=C/C(=O)NCC(C)C,['herbal'],0,0,0,0,0,0,0,1,0,0,0
5318557,C/C=C/C1=CC(=C(C(=C1)OC)OC)OC,['flower'],0,0,0,0,1,0,0,0,0,0,0
5318599,CCCCC/C=C/CO,"['green', 'savory', 'fruity']",0,0,0,0,0,1,1,0,1,0,0
5319367,CC(C)[C@H]1CC[C@](C=C1)(C)O,"['flower', 'herbal', 'animal']",0,1,0,0,1,0,0,1,0,0,0
5319693,CC/C=C\CC1C(CCC1=O)CC(=O)OC,['flower'],0,0,0,0,1,0,0,0,0,0,0
5319754,CC/C=C(\C)/C=O,"['green', 'fruity']",0,0,0,0,0,1,1,0,0,0,0
5319992,CC(C)CC(=O)OCC1=CCC2CC1C2(C)C,"['herbal', 'fruity']",0,0,0,0,0,1,0,1,0,0,0
5320128,CC(=CCC/C(=C\CCC(C)(C=C)O)/C)C,['flower'],0,0,0,0,1,0,0,0,0,0,0
5320249,CC(=C)CC/C=C(\C)/C=C,"['flower', 'fruity']",0,0,0,0,1,1,0,0,0,0,0
5320250,CC(=CC/C=C(/C)\C=C)C,"['flower', 'herbal', 'fruity']",0,0,0,0,1,1,0,1,0,0,0
